Island start	Island end	Length	Method	Gene name	Gene ID	Locus	Gene start	Gene end	Strand	Product	External Annotations
931143	946611	15468	Predicted by at least one method			PBONN_00838	939235	942564	1	hypothetical protein	
931143	946611	15468	Predicted by at least one method			PBONN_00839	943288	946611	1	hypothetical protein	
1028689	1037416	8727	Predicted by at least one method			PBONN_00909	1028689	1029996	1	recombination factor protein RarA	
1028689	1037416	8727	Predicted by at least one method			PBONN_00910	1030259	1031095	-1	insertion element protein	
1028689	1037416	8727	Predicted by at least one method			PBONN_00911	1031092	1031358	-1	transposase	
1028689	1037416	8727	Predicted by at least one method		serS	PBONN_00912	1031609	1032907	1	seryl-tRNA synthetase	
1028689	1037416	8727	Predicted by at least one method			PBONN_00914	1033728	1035557	1	hypothetical protein	
1028689	1037416	8727	Predicted by at least one method			PBONN_00915	1035788	1035970	-1	hypothetical protein	
1028689	1037416	8727	Predicted by at least one method		map2	PBONN_00916	1036002	1036709	1	methionine aminopeptidase 2	
1028689	1037416	8727	Predicted by at least one method			PBONN_00917	1036856	1037416	1	acetyltransferase	
1484549	1507039	22490	Predicted by at least one method			PBONN_01317	1484549	1484989	1	hypothetical protein	
1484549	1507039	22490	Predicted by at least one method			PBONN_01318	1485086	1485574	-1	hypothetical protein	
1484549	1507039	22490	Predicted by at least one method			PBONN_01319	1485733	1487418	-1	exported heme utilization-like protein	
1484549	1507039	22490	Predicted by at least one method			PBONN_01320	1487696	1489240	-1	lipoprotein	
1484549	1507039	22490	Predicted by at least one method			PBONN_01321	1490401	1490613	1	fimbriae assembly-like protein	
1484549	1507039	22490	Predicted by at least one method			PBONN_01322	1490776	1491276	1	hypothetical protein	
1484549	1507039	22490	Predicted by at least one method			PBONN_01323	1491273	1491755	1	hypothetical protein	
1484549	1507039	22490	Predicted by at least one method			PBONN_01324	1491850	1492764	1	membrane fimbriae assembly protein	
1484549	1507039	22490	Predicted by at least one method			PBONN_01325	1492896	1494254	1	exported fimbriae assembly protein	
1484549	1507039	22490	Predicted by at least one method			PBONN_01326	1494251	1494439	1	hypothetical protein	
1484549	1507039	22490	Predicted by at least one method			PBONN_01327	1494527	1495648	1	fimbriae assembly protein	
1484549	1507039	22490	Predicted by at least one method			PBONN_01328	1495652	1497016	1	type II/IV secretion system ATP-binding protein	
1484549	1507039	22490	Predicted by at least one method			PBONN_01329	1497009	1498031	1	fimbriae-related outer membrane protein	
1484549	1507039	22490	Predicted by at least one method			PBONN_01330	1498031	1499077	1	outer-membrane protein	
1484549	1507039	22490	Predicted by at least one method			PBONN_01331	1499089	1500174	1	hypothetical protein	
1484549	1507039	22490	Predicted by at least one method			PBONN_01332	1500342	1500608	-1	hypothetical protein	
1484549	1507039	22490	Predicted by at least one method			PBONN_01333	1500820	1502619	1	hypothetical protein	
1484549	1507039	22490	Predicted by at least one method			PBONN_01334	1502639	1504033	1	sigma-54 related transcriptional regulatory protein	
1484549	1507039	22490	Predicted by at least one method			PBONN_01335	1504078	1504797	1	hypothetical protein	
1484549	1507039	22490	Predicted by at least one method			PBONN_01336	1505043	1505531	-1	Hfq protein	
1484549	1507039	22490	Predicted by at least one method		fsr	PBONN_01337	1505813	1507039	-1	fosmidomycin resistance protein	
1915151	1920313	5162	Predicted by at least one method			PBONN_01691	1915151	1915291	1	hypothetical protein	
1915151	1920313	5162	Predicted by at least one method			PBONN_01692	1915859	1916086	-1	hypothetical protein	
1915151	1920313	5162	Predicted by at least one method			PBONN_01693	1916144	1916806	1	hypothetical protein	
1915151	1920313	5162	Predicted by at least one method			PBONN_01694	1916948	1917385	-1	hypothetical protein	
1915151	1920313	5162	Predicted by at least one method			PBONN_01695	1918740	1919111	-1	Ribonuclease VapC32	
1915151	1920313	5162	Predicted by at least one method			PBONN_01696	1919108	1919305	-1	Antitoxin VapB32	
1915151	1920313	5162	Predicted by at least one method			PBONN_01697	1919437	1919793	1	hypothetical protein	
1915151	1920313	5162	Predicted by at least one method			PBONN_01698	1920065	1920313	1	insertion element protein	
1968021	1973702	5681	Predicted by at least one method			PBONN_01730	1968021	1968500	-1	hypothetical protein	
1968021	1973702	5681	Predicted by at least one method			PBONN_01731	1968737	1969156	-1	AraC family transcriptional regulator	
1968021	1973702	5681	Predicted by at least one method			PBONN_01732	1969508	1970245	1	hypothetical protein	
1968021	1973702	5681	Predicted by at least one method			PBONN_01733	1970486	1970692	-1	hypothetical protein	
1968021	1973702	5681	Predicted by at least one method			PBONN_01734	1971404	1972741	1	hypothetical protein	
1968021	1973702	5681	Predicted by at least one method			PBONN_01735	1972929	1973234	-1	hypothetical protein	
1968021	1973702	5681	Predicted by at least one method			PBONN_01736	1973286	1973702	1	hypothetical protein	
1968021	1973702	5681	Predicted by at least one method		guaA	PBONN_01737	1973538	1975121	-1	GMP synthase	
2125601	2142168	16567	Predicted by at least one method			PBONN_01868	2124957	2125613	1	hypothetical protein	
2125601	2142168	16567	Predicted by at least one method			PBONN_01869	2125601	2126338	1	hypothetical protein	
2125601	2142168	16567	Predicted by at least one method		bpscN	PBONN_01870	2126335	2127693	1	type III secretion system ATPase BpscN (T3SS-1)	
2125601	2142168	16567	Predicted by at least one method			PBONN_01871	2127693	2128439	1	hypothetical protein	
2125601	2142168	16567	Predicted by at least one method			PBONN_01872	2128436	2129224	1	hypothetical protein	
2125601	2142168	16567	Predicted by at least one method			PBONN_01873	2129169	2130428	1	hypothetical protein	
2125601	2142168	16567	Predicted by at least one method		bpscR_1	PBONN_01874	2130425	2131075	1	type III secretion system inner membrane export apparatus protein BpscR (T3SS-1)	
2125601	2142168	16567	Predicted by at least one method		bpscS2_1	PBONN_01875	2131072	2131344	1	type III secretion system inner membrane export apparatus protein BpscS2 (T3SS-2)	
2125601	2142168	16567	Predicted by at least one method		bpscT2	PBONN_01876	2131344	2132156	1	type III secretion system inner membrane export apparatus protein BpscT2 (T3SS-2)	
2125601	2142168	16567	Predicted by at least one method		bpscU_1	PBONN_01877	2132153	2133202	1	autoprotease, early/middle substrate switch BpscU (T3SS-1)	
2125601	2142168	16567	Predicted by at least one method			PBONN_01878	2133199	2133648	1	hypothetical protein	
2125601	2142168	16567	Predicted by at least one method		bpscC	PBONN_01879	2133645	2135483	1	type III secretion system outer membrane ring protein / secretin BpscC (T3SS-1)	
2125601	2142168	16567	Predicted by at least one method			PBONN_01880	2135956	2136471	-1	hypothetical protein	
2125601	2142168	16567	Predicted by at least one method			PBONN_01881	2136476	2136679	-1	hypothetical protein	
2125601	2142168	16567	Predicted by at least one method			PBONN_01882	2137303	2138001	-1	hypothetical protein	
2125601	2142168	16567	Predicted by at least one method			PBONN_01883	2138579	2139253	-1	hypothetical protein	
2125601	2142168	16567	Predicted by at least one method			PBONN_01884	2140107	2140307	1	hypothetical protein	
2125601	2142168	16567	Predicted by at least one method			PBONN_01885	2140714	2142168	1	hypothetical protein	
2229932	2237726	7794	Predicted by at least one method			PBONN_01966	2229932	2230123	-1	hypothetical protein	
2229932	2237726	7794	Predicted by at least one method			PBONN_01967	2230390	2230614	-1	hypothetical protein	
2229932	2237726	7794	Predicted by at least one method			PBONN_01968	2230677	2232359	-1	hypothetical protein	
2229932	2237726	7794	Predicted by at least one method		hicB_2	PBONN_01969	2232625	2232945	1	Antitoxin HicB	
2229932	2237726	7794	Predicted by at least one method			PBONN_01970	2233352	2233495	-1	hypothetical protein	
2229932	2237726	7794	Predicted by at least one method			PBONN_01971	2233549	2234709	-1	hypothetical protein	
2229932	2237726	7794	Predicted by at least one method			PBONN_01972	2234785	2235078	-1	hypothetical protein	
2229932	2237726	7794	Predicted by at least one method			PBONN_01973	2235379	2235627	-1	hypothetical protein	
2229932	2237726	7794	Predicted by at least one method			PBONN_01974	2236087	2236776	1	hypothetical protein	
2229932	2237726	7794	Predicted by at least one method			PBONN_01975	2236806	2237726	1	chromosome replication initiation inhibitor protein	
2230390	2235627	5237	Predicted by at least one method			PBONN_01967	2230390	2230614	-1	hypothetical protein	
2230390	2235627	5237	Predicted by at least one method			PBONN_01968	2230677	2232359	-1	hypothetical protein	
2230390	2235627	5237	Predicted by at least one method		hicB_2	PBONN_01969	2232625	2232945	1	Antitoxin HicB	
2230390	2235627	5237	Predicted by at least one method			PBONN_01970	2233352	2233495	-1	hypothetical protein	
2230390	2235627	5237	Predicted by at least one method			PBONN_01971	2233549	2234709	-1	hypothetical protein	
2230390	2235627	5237	Predicted by at least one method			PBONN_01972	2234785	2235078	-1	hypothetical protein	
2230390	2235627	5237	Predicted by at least one method			PBONN_01973	2235379	2235627	-1	hypothetical protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02051	2316312	2319110	-1	hypothetical protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02052	2319097	2319489	-1	hypothetical protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02053	2319490	2319732	-1	hypothetical protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02054	2319729	2319941	-1	hypothetical protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02055	2319986	2320198	-1	hypothetical protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02056	2320203	2320418	-1	hypothetical protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02057	2320432	2320980	-1	hypothetical protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02058	2321066	2321317	-1	hypothetical protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02059	2321355	2321612	-1	hypothetical protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02060	2321951	2322232	-1	phage DNA-binding protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02061	2322232	2322468	-1	hypothetical protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02062	2322756	2323010	1	phage DNA-binding protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02063	2323340	2324059	1	phage-encoded membrane protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02064	2324098	2324448	1	hypothetical protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02065	2324522	2325016	1	hypothetical protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02066	2325111	2325590	-1	hypothetical protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02067	2325593	2326681	-1	bacteriophage late control gene D protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02068	2326681	2327094	-1	bacteriophage tail-related protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02069	2327110	2329791	-1	hypothetical protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02070	2329915	2330322	-1	hypothetical protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02071	2330393	2330902	-1	phage major tail tube protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02072	2330919	2332091	-1	bacteriophage major tail sheath protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02073	2332133	2332765	-1	bacteriophage-acquired protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02074	2332779	2334599	-1	hypothetical protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02075	2334601	2335143	-1	bacteriophage tail protein I	
2319097	2350775	31678	Predicted by at least one method			PBONN_02076	2335136	2336044	-1	phage baseplate assembly protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02077	2336041	2336394	-1	bacteriophage baseplate assembly protein W	
2319097	2350775	31678	Predicted by at least one method			PBONN_02078	2336391	2337074	-1	bacteriophage baseplate assembly protein V	
2319097	2350775	31678	Predicted by at least one method			PBONN_02079	2337198	2337488	-1	hypothetical protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02080	2337466	2337741	-1	hypothetical protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02081	2337844	2338341	-1	bacteriophage tail completion protein S	
2319097	2350775	31678	Predicted by at least one method			PBONN_02082	2338329	2338799	-1	bacteriophage tail completion protein R	
2319097	2350775	31678	Predicted by at least one method			PBONN_02083	2338848	2339282	-1	bacteriophage protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02084	2339279	2340103	-1	bacteriophage-acquired protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02085	2340100	2340396	-1	hypothetical protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02086	2340399	2340743	-1	bacteriophage membrane protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02087	2340761	2340967	-1	bacteriophage tail protein X	
2319097	2350775	31678	Predicted by at least one method			PBONN_02088	2341002	2341478	-1	phage head completion/stabilization protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02089	2341592	2342197	-1	bacteriophage terminase, endonuclease subunit	
2319097	2350775	31678	Predicted by at least one method			PBONN_02090	2342272	2343294	-1	major capsid protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02091	2343382	2344191	-1	phage capsid scaffolding protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02092	2344338	2346110	1	bacteriophage terminase, ATPase subunit	
2319097	2350775	31678	Predicted by at least one method			PBONN_02093	2346107	2347180	1	portal protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02094	2347313	2348038	1	hypothetical protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02095	2348348	2348698	-1	hypothetical protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02096	2348702	2349016	-1	hypothetical protein	
2319097	2350775	31678	Predicted by at least one method			PBONN_02097	2349942	2350775	-1	phage-encoded membrane protein	
2347313	2351767	4454	Predicted by at least one method			PBONN_02094	2347313	2348038	1	hypothetical protein	
2347313	2351767	4454	Predicted by at least one method			PBONN_02095	2348348	2348698	-1	hypothetical protein	
2347313	2351767	4454	Predicted by at least one method			PBONN_02096	2348702	2349016	-1	hypothetical protein	
2347313	2351767	4454	Predicted by at least one method			PBONN_02097	2349942	2350775	-1	phage-encoded membrane protein	
2347313	2351767	4454	Predicted by at least one method			PBONN_02098	2351597	2351767	-1	hypothetical protein	
2584492	2590456	5964	Predicted by at least one method			PBONN_02317	2584492	2585028	-1	hypothetical protein	
2584492	2590456	5964	Predicted by at least one method			PBONN_02318	2585192	2585377	-1	hypothetical protein	
2584492	2590456	5964	Predicted by at least one method			PBONN_02319	2585355	2585918	-1	hypothetical protein	
2584492	2590456	5964	Predicted by at least one method			PBONN_02320	2586434	2588044	-1	hypothetical protein	
2584492	2590456	5964	Predicted by at least one method			PBONN_02321	2588935	2589354	-1	hypothetical protein	
2584492	2590456	5964	Predicted by at least one method			PBONN_02322	2589450	2589908	-1	hypothetical protein	
2584492	2590456	5964	Predicted by at least one method			PBONN_02323	2589896	2590456	-1	hypothetical protein	
2604481	2626946	22465	Predicted by at least one method			PBONN_02335	2604481	2605209	-1	IclR family transcriptional regulator	
2604481	2626946	22465	Predicted by at least one method			PBONN_02336	2606983	2610462	1	hypothetical protein	
2604481	2626946	22465	Predicted by at least one method			PBONN_02337	2610896	2611123	1	hypothetical protein	
2604481	2626946	22465	Predicted by at least one method			PBONN_02338	2611120	2612577	1	ISL3 family transposase ISRso21	
2604481	2626946	22465	Predicted by at least one method			PBONN_02339	2613233	2621554	1	hypothetical protein	
2604481	2626946	22465	Predicted by at least one method		sodB	PBONN_02340	2621830	2622408	-1	superoxide dismutase	
2604481	2626946	22465	Predicted by at least one method		xseA	PBONN_02341	2622738	2624117	-1	exodeoxyribonuclease VII large subunit	
2604481	2626946	22465	Predicted by at least one method			PBONN_02342	2624652	2625668	1	tetraacyldisaccharide 4'-kinase	
2604481	2626946	22465	Predicted by at least one method			PBONN_02343	2625649	2625852	1	hypothetical protein	
2604481	2626946	22465	Predicted by at least one method		kdsB	PBONN_02344	2626119	2626946	1	3-deoxy-manno-octulosonate cytidylyltransferase	
2899479	2923104	23625	Predicted by at least one method			PBONN_02591	2899479	2899805	1	hypothetical protein	
2899479	2923104	23625	Predicted by at least one method			PBONN_02592	2899802	2899981	1	hypothetical protein	
2899479	2923104	23625	Predicted by at least one method			PBONN_02593	2899978	2900889	1	hypothetical protein	
2899479	2923104	23625	Predicted by at least one method			PBONN_02594	2900979	2901284	1	hypothetical protein	
2899479	2923104	23625	Predicted by at least one method			PBONN_02595	2901281	2903455	1	hypothetical protein	
2899479	2923104	23625	Predicted by at least one method			PBONN_02596	2903465	2903986	1	hypothetical protein	
2899479	2923104	23625	Predicted by at least one method			PBONN_02597	2904152	2906017	-1	hypothetical protein	
2899479	2923104	23625	Predicted by at least one method			PBONN_02598	2906014	2906529	-1	hypothetical protein	
2899479	2923104	23625	Predicted by at least one method			PBONN_02599	2906517	2907518	-1	hypothetical protein	
2899479	2923104	23625	Predicted by at least one method			PBONN_02600	2907740	2907973	-1	hypothetical protein	
2899479	2923104	23625	Predicted by at least one method			PBONN_02601	2908053	2908181	-1	hypothetical protein	
2899479	2923104	23625	Predicted by at least one method			PBONN_02602	2908174	2908476	-1	hypothetical protein	
2899479	2923104	23625	Predicted by at least one method			PBONN_02603	2908479	2908625	-1	hypothetical protein	
2899479	2923104	23625	Predicted by at least one method			PBONN_02604	2908757	2909035	-1	hypothetical protein	
2899479	2923104	23625	Predicted by at least one method			PBONN_02605	2909138	2911159	-1	hypothetical protein	
2899479	2923104	23625	Predicted by at least one method			PBONN_02606	2911162	2911431	-1	hypothetical protein	
2899479	2923104	23625	Predicted by at least one method			PBONN_02607	2911921	2912178	1	hypothetical protein	
2899479	2923104	23625	Predicted by at least one method			PBONN_02608	2912259	2913155	1	hypothetical protein	
2899479	2923104	23625	Predicted by at least one method			PBONN_02609	2913725	2915251	1	hypothetical protein	
2899479	2923104	23625	Predicted by at least one method			PBONN_02610	2915325	2915999	1	hypothetical protein	
2899479	2923104	23625	Predicted by at least one method			PBONN_02611	2916036	2917133	-1	plasmid recombinase	
2899479	2923104	23625	Predicted by at least one method			PBONN_02612	2917375	2917659	1	IS256 family transposase ISPsy17	
2899479	2923104	23625	Predicted by at least one method			PBONN_02613	2917679	2918314	1	hypothetical protein	
2899479	2923104	23625	Predicted by at least one method			PBONN_02614	2918678	2920477	-1	hypothetical protein	
2899479	2923104	23625	Predicted by at least one method			PBONN_02615	2920747	2921706	-1	zinc-binding dehydrogenase	
2899479	2923104	23625	Predicted by at least one method		adhC	PBONN_02616	2922052	2923104	1	NADP-dependent alcohol dehydrogenase	
2899802	2903986	4184	Predicted by at least one method			PBONN_02591	2899479	2899805	1	hypothetical protein	
2899802	2903986	4184	Predicted by at least one method			PBONN_02592	2899802	2899981	1	hypothetical protein	
2899802	2903986	4184	Predicted by at least one method			PBONN_02593	2899978	2900889	1	hypothetical protein	
2899802	2903986	4184	Predicted by at least one method			PBONN_02594	2900979	2901284	1	hypothetical protein	
2899802	2903986	4184	Predicted by at least one method			PBONN_02595	2901281	2903455	1	hypothetical protein	
2899802	2903986	4184	Predicted by at least one method			PBONN_02596	2903465	2903986	1	hypothetical protein	
2911162	2920477	9315	Predicted by at least one method			PBONN_02606	2911162	2911431	-1	hypothetical protein	
2911162	2920477	9315	Predicted by at least one method			PBONN_02607	2911921	2912178	1	hypothetical protein	
2911162	2920477	9315	Predicted by at least one method			PBONN_02608	2912259	2913155	1	hypothetical protein	
2911162	2920477	9315	Predicted by at least one method			PBONN_02609	2913725	2915251	1	hypothetical protein	
2911162	2920477	9315	Predicted by at least one method			PBONN_02610	2915325	2915999	1	hypothetical protein	
2911162	2920477	9315	Predicted by at least one method			PBONN_02611	2916036	2917133	-1	plasmid recombinase	
2911162	2920477	9315	Predicted by at least one method			PBONN_02612	2917375	2917659	1	IS256 family transposase ISPsy17	
2911162	2920477	9315	Predicted by at least one method			PBONN_02613	2917679	2918314	1	hypothetical protein	
2911162	2920477	9315	Predicted by at least one method			PBONN_02614	2918678	2920477	-1	hypothetical protein	
3052205	3067668	15463	Predicted by at least one method			PBONN_02734	3052205	3052390	1	hypothetical protein	
3052205	3067668	15463	Predicted by at least one method		dbpA	PBONN_02735	3052417	3053835	1	ATP-dependent RNA helicase DbpA	
3052205	3067668	15463	Predicted by at least one method			PBONN_02736	3054386	3054586	1	hypothetical protein	
3052205	3067668	15463	Predicted by at least one method			PBONN_02737	3054839	3055675	-1	insertion element protein	
3052205	3067668	15463	Predicted by at least one method			PBONN_02738	3055672	3055938	-1	transposase	
3052205	3067668	15463	Predicted by at least one method			PBONN_02739	3055963	3056346	-1	hypothetical protein	
3052205	3067668	15463	Predicted by at least one method			PBONN_02740	3056300	3056578	-1	hypothetical protein	
3052205	3067668	15463	Predicted by at least one method			PBONN_02741	3056575	3065841	-1	cell surface protein	
3052205	3067668	15463	Predicted by at least one method			PBONN_02742	3066104	3066613	1	hypothetical protein	
3052205	3067668	15463	Predicted by at least one method		lpxD_2	PBONN_02743	3066874	3067668	1	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	
3163516	3168871	5355	Predicted by at least one method		mshA	PBONN_02835	3163516	3165768	-1	D-inositol-3-phosphate glycosyltransferase	
3163516	3168871	5355	Predicted by at least one method		bceM	PBONN_02836	3165885	3166730	-1	GDP-6-deoxy-D-lyxo-4-hexulose reductase BceM	
3163516	3168871	5355	Predicted by at least one method			PBONN_02837	3166943	3168871	-1	hypothetical protein	
